60
19010 161 16639 132
-32047 176 20419 108
-21868 115 -18341 93
785 22 -3724 93
20061 112 -10985 59
3993 137 6909 197
-3791 32 14735 116
353 5 -13674 173
182 5 2832 67
-5 3 277 130
24878 187 -3591 26
-21302 199 -13002 115
-1299 19 -5089 65
3413 23 11551 73
3337 31 -18821 168
1841 13 -22961 153
11239 96 18959 154
-11083 90 13903 106
-3513 20 -13219 73
-17317 100 -907 5
-16305 89 -31140 163
-4219 75 11986 187
2613 113 -4223 136
17878 143 -11177 84
513 16 3287 80
-12356 199 9389 140
7123 178 -3290 73
1523 72 -1286 47
-1567 31 -995 17
9923 114 6535 68
6174 199 -6567 160
-23369 132 -18149 98
-17014 125 18137 125
24096 199 8389 64
27725 167 -28007 160
1380 49 5226 145
8985 191 -5371 101
-10855 84 9060 67
3968 37 2615 23
251 22 -2209 137
8187 109 -16415 193
9811 153 1758 25
-425 52 488 37
2216 65 6325 162
2403 109 5733 179
-9903 157 8462 119
7615 49 4469 27
-2219 100 -5196 185
-10404 67 15667 96
3204 29 -6259 53
-101 91 -1416 175
12337 127 8565 83
4933 46 -19563 170
8745 52 -23469 134
-10421 112 13517 135
-5138 125 5246 107
-518 17 -3305 94
5331 38 -24860 169
-14496 127 20558 167
9788 77 17691 134
