Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Purchase Date
31208654,Until It Fades,K.A. Tucker,Tucker  K.A.,empty,1501133381,9781501133381,0,4.17,Atria Books,Paperback,356,2017,empty,6/28/2017,to-read,to-read,empty
31247021,The One-Minute Workout: Science Shows a Way to Get Fit That's Smarter  Faster  Shorter,Martin Gibala,Gibala  Martin,Christopher Shulgan,399183663,9780399183669,0,4.06,Avery Publishing Group,Hardcover,272,2017,empty,6/26/2017,to-read|own|health,to-read,6/26/2017
17202862,Fast Tract Digestion Heartburn: Clinically Proven Diet Solution to Treat and Prevent Acid Reflux and GERD without Drugs,Norman Robillard,Robillard  Norman,empty,976642530,9780976642534,0,3.79,Self Health Publishing,Paperback,217,2012,empty,6/26/2017,own|health|currently-reading,currently-reading,6/26/2017
35448748,Assembly Language Using the Raspberry Pi: A Hardware Software Bridge,Robert Dunne,Dunne  Robert,empty,empty,empty,0,0,Gaul Communications,Kindle Edition,527,2017,empty,6/26/2017,to-read|own|computer-science|computer-architecture|programming-assembly,to-read,6/21/2017
35294572,An Introduction to Mathematical Statistics,H. D Brunk,Brunk  H. D,empty,empty,empty,0,0,Blaisdell Publishing Company,Hardcover,429,1965,empty,6/3/2017,reference-only|own|mathematics|mathematical-statistics,reference-only,6/3/2017
2951335,Voice and Speech Processing,Thomas W. Parsons,Parsons  Thomas W.,empty,70485410,9780070485419,0,4,McGraw-Hill Companies,Hardcover,402,1987,empty,6/3/2017,own|signal-processing|electrical-engineering|reference-only,reference-only,6/3/2017
3613743,Mastering the Techniques of Teaching (The Jossey-Bass higher education series),Joseph Lowman,Lowman  Joseph,empty,875895980,9780875895987,0,3.59,Jossey-Bass Inc. U.S.,Hardcover,245,1984,empty,6/3/2017,to-read|own|teaching|education,to-read,6/3/2017
11295424,Distributed Systems: Concepts and Design,George Coulouris,Coulouris  George,Jean Dollimore  Tim Kindberg  Gordon Blair,132143011,9780132143011,0,3.56,Addison Wesley Longman,Hardcover,1047,2011,empty,6/3/2017,reference-only|own|computer-science|networking,reference-only,6/3/2017
26660665,Learning Computer Architecture with Raspberry Pi,Eben Upton,Upton  Eben,Jeffrey Duntemann,1119183936,9781119183938,0,4.31,Wiley,Paperback,528,2016,empty,5/19/2017,computer-architecture|computer-science|own|currently-reading,currently-reading,empty
22800567,Fluent Python: Clear  Concise  and Effective Programming,Luciano Ramalho,Ramalho  Luciano,empty,1491946008,9781491946008,0,4.65,O'Reilly Media,Paperback,792,2015,empty,5/19/2017,to-read|own|programming-python|computer-science,to-read,empty
649317,A Digital Signal Processing Primer,Ken Steiglitz,Steiglitz  Ken,empty,805316841,9780805316841,0,4.07,Prentice Hall,Paperback,314,1996,empty,5/2/2017,to-read|own|signal-processing|electrical-engineering,to-read,5/2/2017
15857378,Designing Audio Effect Plug-Ins in C++: With Digital Audio Signal Processing Theory,Will Pirkle,Pirkle  Will,empty,240825152,9780240825151,0,4.22,Focal Press,Paperback,534,2012,empty,5/2/2017,to-read|own|electrical-engineering|signal-processing,to-read,5/2/2017
988238,Computer Organisation And Architecture (Grassroots),Antony Carter,Carter  Antony,empty,1403901643,9781403901644,0,3.33,Palgrave,Paperback,empty,2003,empty,5/1/2017,own|computer-architecture|computer-science|reference-only,reference-only,5/1/2017
1028508,Digital Signal Processing and the Microcontroller [With CDROM],Dale Grover,Grover  Dale,empty,130813486,9780130813480,5,5,Prentice Hall,Paperback,empty,1998,empty,4/27/2017,signal-processing|electrical-engineering|own|currently-reading,currently-reading,4/27/2017
